Test device (T1),Exact plug-in bias^2,Exact plug-in variance,Exact plug-in MSE,Linear surrogate MSE
ibm_osprey (88.35us),1.24e-09,2.16e-07,2.17e-07,2.03e-06
ibm_sherbrooke (262.69us),1.38e-10,2.47e-08,2.48e-08,1.54e-07
